Timestamp,x,y,DL Th,UL Th,Delay,Signal Quality,Bit Error Rate,Registration Status,Serving Cell State,Duplex Mode,MCC,MNC,Cell ID,PCID,TAC,ARFCN,Band,NR_DL Bandwidth,RSRP,RSRQ,SINR,SCS,SRXLEV
2024-12-16 10:42:00,17.5321013257754,-3.58944664558078,0.0,0.0,0.000000,99,99,0,,,,,,,,,,,,,,,
2024-12-16 10:42:02,17.2593164787097,-3.60017437951167,0.0,0.0,0.000000,,,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-88,-11,28,1,3648
2024-12-16 10:42:03,17.0369946958293,-3.63087833047424,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-95,-11,28,1,2689
2024-12-16 10:42:05,16.5558780749664,-3.62733262301003,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-94,-11,29,1,2879
2024-12-16 10:42:06,16.0494261905233,-3.60094216630171,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-92,-11,29,1,3136
2024-12-16 10:42:08,15.5993387377675,-3.59881315866735,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-87,-11,26,1,3712
2024-12-16 10:42:09,15.3737269432532,-3.63355914890176,0.0,0.0,0.000000,,,,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-91,-11,26,1,3263
2024-12-16 10:42:11,15.1443809294138,-3.69709044760596,0.0,0.0,0.000000,,,,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-89,-11,20,1,3456
2024-12-16 10:42:12,14.7154788614385,-3.782518012562,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-96,-11,20,1,2560
2024-12-16 10:42:15,14.2058459616512,-3.93350127190257,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-86,-11,24,1,3967
2024-12-16 10:42:17,13.7177754257839,-3.96397316136515,0.0,0.0,0.000000,99,99,,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-94,-11,21,1,2879
2024-12-16 10:42:18,13.4731096567394,-3.95731742072984,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-93,-11,19,1,3008
2024-12-16 10:42:19,13.237793318614,-3.95201369154767,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-92,-11,26,1,3199
2024-12-16 10:42:20,12.9681098637946,-3.91540142187465,0.0,0.0,0.000000,99,99,0,,,,,,,,,,,,,,,
2024-12-16 10:42:21,12.7106408656659,-3.89461606201973,0.0,0.0,0.000000,99,99,,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-95,-11,17,1,2688
2024-12-16 10:42:22,12.4414215764199,-3.87724316788687,0.0,0.0,0.000000,99,99,0,'NOCONN','TDD', 999,50,301,2,1,647232,78,3,-95,-11,17,1,2688
